Music,"MY WAY","by asako hoshikawa",http://vg.pe.hu/up/play/myway.html,c,link
Video/Photo,"نايف البدراني",Unknown,https://verygois.tumblr.com/bfjoebdiegd,d,link
Mix/Video,4U,"Favolit video and music",https://verygois.tumblr.com/4u,c,link
Music/Letter,りおのコレクション,"by fri珍 and りお",http://vg.pe.hu/up/play/rio/,e,link
Haiku,"俳句","The theme is ""Today"".",http://vg.pe.hu/up/reading/haiku/,e,
YouTube,underwater_relax_videos,Selected by SK.Ⅱ,http://vg.pe.hu/up/tsom/underwater_relax_videos.html,d,link
Mix,新成人の皆様おめでとうございます。,"Mix for Grey Matter Archives",http://vg.pe.hu/up/play/greymatterarchives.html,c,link
Mix,"that can be _ from afar..","Mix for anathema archive",http://vg.pe.hu/up/play/thatcanbe_fromafar.html,c,link
Memory,"ho-mpe-ji-zukuri  !",ironnnaibentoyarimasita,http://vg.pe.hu/up/memories/sexy/,d,link
Recording,"Garden City",I hate yesterday's me,http://vg.pe.hu/up/play/garden_city.html,c,link
Poem,"chenge the words","by Kazuma Sasajima",http://vg.pe.hu/up/reading/chengethewords/,b,link
Poem,"i notice","by Kazuma Sasajima",http://vg.pe.hu/up/reading/i_notice/,b,link
Memory,おめでとうございます！,れんれんはホシザキの冷蔵庫を落札しました！,http://vg.pe.hu/up/memories/hoshizaki.html,b,link
Mix,2019年の思い出,"This is a poem",http://vg.pe.hu/up/play/aa.html,c,link
Tweet,"TWEET 2017-2019","by 🐴",http://vg.pe.hu/cv/tweet/,b,link
Mix,"It is my instagram",instagram.com/sajimakazumasa,http://vg.pe.hu/up/play/instagram.html,c,link
Mix,"I always think positive/negative to aggressive 100%","by SK.Ⅱ",http://vg.pe.hu/up/play/i_100.html,c,link
Mix,"Yes, yes, sure! You get up don't stop","Selected the Songs from https://youtu.be/tvJLIeRkp0U, et cetera.",http://vg.pe.hu/up/play/karaoke.html,c,link
YouTube,The videos I found in 2015-2020,"Selected by SK.Ⅱ",http://vg.pe.hu/up/tsom/2015-2020/,d,link
10Q,"Kazuma Sasajima の 10の質問","ichoose | The Answers are always inside of you",http://ichoose.pe.hu/collection/sk2/,e,link
Mix,"This is Country Music","Mix for Sendspaace that Radio Program on NTS.",https://www.nts.live/shows/sendspaace/episodes/sendspaace-10th-may-2021,c,link
Poem,Sorryforthedelayinsending@vg.pe.hu,"It is my new email address",https://sorryforthedelayinsending.glitch.me,b,link
Notebook,"I found the word so new","I start new blog on Scoby via Ane.na",https://scoby.page/i-found-the-word-so-new,b,link
YouTube,fire_frame_burning_videos,"Selected by SK.Ⅱ",http://vg.pe.hu/up/tsom/fire_frame_burning_videos.html,d,link
YouTube,Ultra Meaningless,"Selected by woopheadclrms",http://vg.pe.hu/up/tsom/ultrameaningless.html,d,link
YouTube,União das Samba do Japão,"Selected by SK.Ⅱ",http://vg.pe.hu/up/tsom/samba.html,d,link
YouTube,#xmastrax,"Selected by IRCAM_official",http://vg.pe.hu/up/tsom/xmastrax.html,d,link
